"SubjectID" "Activity" "Domain" "Device" "AccelerationComponent" "Stat" "Axis" "Jerk" "Magnitude" "meanVal" "n"
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "mean" "Y" NA NA -0.330026645 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "mean" "Z" NA NA -0.0941463448928571 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "mean" NA NA "Magnitude" -0.0140828025671429 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "std" "X" NA NA -0.957048614642857 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "std" "Y" NA NA -0.945034861071429 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "std" "Z" NA NA -0.906579158214286 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "std" NA NA "Magnitude" -0.101515471785714 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "mean" "X" "Jerk" NA -0.121134045164286 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "mean" "X" NA NA 0.00793679635714286 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "mean" "Y" "Jerk" NA -0.0704164515642857 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "mean" "Y" NA NA -0.124194573607143 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "mean" "Z" "Jerk" NA -0.0169168070785714 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "mean" "Z" NA NA 0.0749974305928571 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "mean" NA "Jerk" "Magnitude" -0.405708505357143 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "mean" NA NA "Magnitude" -0.0916624324642857 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "std" "X" "Jerk" NA -0.528469100357143 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "std" "X" NA NA -0.505927252857143 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "std" "Y" "Jerk" NA -0.389002888178571 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "std" "Y" NA NA -0.0722302850357143 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "std" "Z" "Jerk" NA -0.383401011071429 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "std" "Z" NA NA -0.264048974032143 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "std" NA "Jerk" "Magnitude" -0.461512406071429 28
1 "WALKING_DOWNSTAIRS" "Time" "Gyroscope" "Body" "std" NA NA "Magnitude" -0.204749539785714 28
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "X" "Jerk" NA -0.579173297953636 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "X" NA NA -0.568605586936991 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Y" "Jerk" NA -0.531855037161571 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Y" NA NA -0.435590309958119 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Z" "Jerk" NA -0.718218510282132 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Z" NA NA -0.622737954733542 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "mean" NA "Jerk" "Magnitude" -0.532375042459436 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "mean" NA NA "Magnitude" -0.51451018417837 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "std" "X" "Jerk" NA -0.573954794100627 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "std" "X" NA NA -0.592481151925078 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Y" "Jerk" NA -0.487435630497743 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Y" NA NA -0.420395771879091 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Z" "Jerk" NA -0.757327282507837 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Z" NA NA -0.532475457591223 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "std" NA "Jerk" "Magnitude" -0.567060313747649 319
1 "WALKING_UPSTAIRS" "Frequency" "Accelerometer" "Body" "std" NA NA "Magnitude" -0.618268506526646 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "X" NA NA -0.640742579222884 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "Y" NA NA -0.533301013116928 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "Z" NA NA -0.586410823021003 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "mean" NA "Jerk" "Magnitude" -0.664403718243574 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "mean" NA NA "Magnitude" -0.560164643022571 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "std" "X" NA NA -0.723424966517241 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "std" "Y" NA NA -0.464574198389028 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "std" "Z" NA NA -0.675738548401254 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "std" NA "Jerk" "Magnitude" -0.698823947630094 319
1 "WALKING_UPSTAIRS" "Frequency" "Gyroscope" "Body" "std" NA NA "Magnitude" -0.587806637924765 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "mean" "X" "Jerk" NA 0.0783408328178683 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "mean" "X" NA NA 0.265130137749216 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "mean" "Y" "Jerk" NA 0.0159134348518495 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "mean" "Y" NA NA -0.0185590134726959 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "mean" "Z" "Jerk" NA -0.00848661885111599 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "mean" "Z" NA NA -0.108975792340125 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "mean" NA "Jerk" "Magnitude" -0.574021004097179 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "mean" NA NA "Magnitude" -0.492214147385266 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "std" "X" "Jerk" NA -0.557076221469279 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "std" "X" NA NA -0.584539467328931 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "std" "Y" "Jerk" NA -0.494172400365831 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "std" "Y" NA NA -0.39909289878558 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "std" "Z" "Jerk" NA -0.738499733742947 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "std" "Z" NA NA -0.536504094358307 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "std" NA "Jerk" "Magnitude" -0.545989980899812 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Body" "std" NA NA "Magnitude" -0.531818239176489 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Gravity" "mean" "X" NA NA 0.730741616570533 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Gravity" "mean" "Y" NA NA -0.0608347193134796 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Gravity" "mean" "Z" NA NA 0.086953080507837 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Gravity" "mean" NA NA "Magnitude" -0.492214147385266 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Gravity" "std" "X" NA NA -0.960106153793103 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Gravity" "std" "Y" NA NA -0.951687434539185 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Gravity" "std" "Z" NA NA -0.927506230724138 319
1 "WALKING_UPSTAIRS" "Time" "Accelerometer" "Gravity" "std" NA NA "Magnitude" -0.531818239176489 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "mean" "X" "Jerk" NA -0.0950035033872414 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "mean" "X" NA NA -0.0234054649840439 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "mean" "Y" "Jerk" NA -0.0391973611410658 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "mean" "Y" NA NA -0.084901663477116 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "mean" "Z" "Jerk" NA -0.0497921651970846 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "mean" "Z" NA NA 0.0872530964713166 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "mean" NA "Jerk" "Magnitude" -0.660039846322884 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "mean" NA NA "Magnitude" -0.509087500201881 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "std" "X" "Jerk" NA -0.647410243423198 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "std" "X" NA NA -0.702410251081505 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "std" "Y" "Jerk" NA -0.656018144169279 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "std" "Y" NA NA -0.484224282954075 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "std" "Z" "Jerk" NA -0.68927331655768 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "std" "Z" NA NA -0.626764226316614 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "std" NA "Jerk" "Magnitude" -0.668775141492163 319
1 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" "std" NA NA "Magnitude" -0.525740915096552 319
2 "WALKING" "Frequency" "Accelerometer" "Body" "mean" "X" "Jerk" NA -0.561682049622185 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "mean" "X" NA NA -0.57377091142947 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "mean" "Y" "Jerk" NA -0.50890379901457 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "mean" "Y" NA NA -0.432566581302351 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "mean" "Z" "Jerk" NA -0.715745330403973 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "mean" "Z" NA NA -0.630081222124834 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "mean" NA "Jerk" "Magnitude" -0.509746432970861 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "mean" NA NA "Magnitude" -0.514569861316887 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "std" "X" "Jerk" NA -0.595105612895033 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "std" "X" NA NA -0.619788102803311 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "std" "Y" "Jerk" NA -0.509147543673841 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "std" "Y" NA NA -0.464723862913245 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "std" "Z" "Jerk" NA -0.767087015496689 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "std" "Z" NA NA -0.600678614835099 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "std" NA "Jerk" "Magnitude" -0.518800797709272 302
2 "WALKING" "Frequency" "Accelerometer" "Body" "std" NA NA "Magnitude" -0.646662308457285 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "mean" "X" NA NA -0.638717694593046 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "mean" "Y" NA NA -0.722068978635762 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "mean" "Z" NA NA -0.601594889654305 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "mean" NA "Jerk" "Magnitude" -0.751615078360927 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "mean" NA NA "Magnitude" -0.699742945221854 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "std" "X" NA NA -0.734588540182119 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "std" "Y" NA NA -0.72716774102649 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "std" "Z" NA NA -0.683114494539735 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "std" NA "Jerk" "Magnitude" -0.744194981440397 302
2 "WALKING" "Frequency" "Gyroscope" "Body" "std" NA NA "Magnitude" -0.725310337688742 302
2 "WALKING" "Time" "Accelerometer" "Body" "mean" "X" "Jerk" NA 0.0785353156747351 302
2 "WALKING" "Time" "Accelerometer" "Body" "mean" "X" NA NA 0.273113115788079 302
2 "WALKING" "Time" "Accelerometer" "Body" "mean" "Y" "Jerk" NA 0.00708771249764901 302
2 "WALKING" "Time" "Accelerometer" "Body" "mean" "Y" NA NA -0.0191323183174834 302
2 "WALKING" "Time" "Accelerometer" "Body" "mean" "Z" "Jerk" NA 0.000755760748377483 302
2 "WALKING" "Time" "Accelerometer" "Body" "mean" "Z" NA NA -0.115649958175497 302
2 "WALKING" "Time" "Accelerometer" "Body" "mean" NA "Jerk" "Magnitude" -0.58777744543543 302
2 "WALKING" "Time" "Accelerometer" "Body" "mean" NA NA "Magnitude" -0.535281800541722 302
2 "WALKING" "Time" "Accelerometer" "Body" "std" "X" "Jerk" NA -0.557809603123841 302
2 "WALKING" "Time" "Accelerometer" "Body" "std" "X" NA NA -0.605586497159271 302
2 "WALKING" "Time" "Accelerometer" "Body" "std" "Y" "Jerk" NA -0.491875889831788 302
2 "WALKING" "Time" "Accelerometer" "Body" "std" "Y" NA NA -0.428962986589404 302
2 "WALKING" "Time" "Accelerometer" "Body" "std" "Z" "Jerk" NA -0.741885388311258 302
2 "WALKING" "Time" "Accelerometer" "Body" "std" "Z" NA NA -0.589360062210596 302
2 "WALKING" "Time" "Accelerometer" "Body" "std" NA "Jerk" "Magnitude" -0.512115278415232 302
2 "WALKING" "Time" "Accelerometer" "Body" "std" NA NA "Magnitude" -0.552812545643709 302
2 "WALKING" "Time" "Accelerometer" "Gravity" "mean" "X" NA NA 0.660782866688742 302
2 "WALKING" "Time" "Accelerometer" "Gravity" "mean" "Y" NA NA -0.147219886910411 302
2 "WALKING" "Time" "Accelerometer" "Gravity" "mean" "Z" NA NA 0.134865335090728 302
2 "WALKING" "Time" "Accelerometer" "Gravity" "mean" NA NA "Magnitude" -0.535281800541722 302
2 "WALKING" "Time" "Accelerometer" "Gravity" "std" "X" NA NA -0.963015508245033 302
2 "WALKING" "Time" "Accelerometer" "Gravity" "std" "Y" NA NA -0.960033560165563 302
2 "WALKING" "Time" "Accelerometer" "Gravity" "std" "Z" NA NA -0.945365383907285 302
2 "WALKING" "Time" "Accelerometer" "Gravity" "std" NA NA "Magnitude" -0.552812545643709 302
2 "WALKING" "Time" "Gyroscope" "Body" "mean" "X" "Jerk" NA -0.0875587491668874 302
2 "WALKING" "Time" "Gyroscope" "Body" "mean" "X" NA NA -0.0517030657821192 302
2 "WALKING" "Time" "Gyroscope" "Body" "mean" "Y" "Jerk" NA -0.0433986835453642 302
2 "WALKING" "Time" "Gyroscope" "Body" "mean" "Y" NA NA -0.0568420186817881 302
2 "WALKING" "Time" "Gyroscope" "Body" "mean" "Z" "Jerk" NA -0.0557541828188742 302
2 "WALKING" "Time" "Gyroscope" "Body" "mean" "Z" NA NA 0.0872599422291391 302
2 "WALKING" "Time" "Gyroscope" "Body" "mean" NA "Jerk" "Magnitude" -0.746559539039735 302
2 "WALKING" "Time" "Gyroscope" "Body" "mean" NA NA "Magnitude" -0.614771054893146 302
2 "WALKING" "Time" "Gyroscope" "Body" "std" "X" "Jerk" NA -0.671679103311258 302
2 "WALKING" "Time" "Gyroscope" "Body" "std" "X" NA NA -0.710648927815894 302
2 "WALKING" "Time" "Gyroscope" "Body" "std" "Y" "Jerk" NA -0.783595466728477 302
2 "WALKING" "Time" "Gyroscope" "Body" "std" "Y" NA NA -0.722943674337748 302
2 "WALKING" "Time" "Gyroscope" "Body" "std" "Z" "Jerk" NA -0.674611933293046 302
2 "WALKING" "Time" "Gyroscope" "Body" "std" "Z" NA NA -0.634888927843046 302
2 "WALKING" "Time" "Gyroscope" "Body" "std" NA "Jerk" "Magnitude" -0.740088733655629 302
2 "WALKING" "Time" "Gyroscope" "Body" "std" NA NA "Magnitude" -0.680584887880795 302
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "X" "Jerk" NA -0.645893496630499 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "X" NA NA -0.625733289873607 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Y" "Jerk" NA -0.582949919157742 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Y" NA NA -0.501779938505279 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Z" "Jerk" NA -0.780101644193548 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Z" NA NA -0.699656828592375 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" NA "Jerk" "Magnitude" -0.604752108072727 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" NA NA "Magnitude" -0.579076453758064 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "X" "Jerk" NA -0.657844055881525 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "X" NA NA -0.623805015199413 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Y" "Jerk" NA -0.559851186088408 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Y" NA NA -0.502753639795894 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Z" "Jerk" NA -0.81080601659824 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Z" NA NA -0.657443765803519 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" NA "Jerk" "Magnitude" -0.615643694857361 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" NA NA "Magnitude" -0.663079838985044 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "X" NA NA -0.642097719778592 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "Y" NA NA -0.775144985073314 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "Z" NA NA -0.670734708996481 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" NA "Jerk" "Magnitude" -0.810085498651026 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" NA NA "Magnitude" -0.716822144279179 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" "X" NA NA -0.719276622702346 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" "Y" NA NA -0.758505287214076 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" "Z" NA NA -0.751008875659824 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" NA "Jerk" "Magnitude" -0.810032718739003 341
3 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" NA NA "Magnitude" -0.703839403007038 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "X" "Jerk" NA 0.0701731261988856 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "X" NA NA 0.273428719636364 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "Y" "Jerk" NA 0.0144664329060411 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "Y" NA NA -0.017856067384956 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "Z" "Jerk" NA -0.000526818872875366 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "Z" NA NA -0.106492632429097 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" NA "Jerk" "Magnitude" -0.650182434328446 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" NA NA "Magnitude" -0.563140802770059 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "X" "Jerk" NA -0.635484688041056 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "X" NA NA -0.623413602046921 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "Y" "Jerk" NA -0.55721186773783 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "Y" NA NA -0.480015920697654 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "Z" "Jerk" NA -0.796066240234604 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "Z" NA NA -0.653625579293255 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" NA "Jerk" "Magnitude" -0.607658214170381 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" NA NA "Magnitude" -0.591224780306452 341
3 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "mean" "X" NA NA 0.707814353343108 341
